fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
22,005,------,G,45262,G,853572,G,3201885,2626,1257,527,395,288,91,51,10,4,3,N,N,N,N
22,005,21----,G,235,G,6892,G,23221,13,5,N,N,3,N,N,N,N,N,N,N,N,N
22,005,211///,J,42,J,1830,J,6101,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,2111//,J,42,J,1830,J,6101,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,21113/,J,42,J,1830,J,6101,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,211130,J,42,J,1830,J,6101,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,213///,G,192,G,5053,G,17083,8,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,2131//,G,192,G,5053,G,17083,8,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,21311/,G,192,G,5053,G,17083,8,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,213112,G,192,G,5053,G,17083,8,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,22----,G,140,G,2989,G,12202,9,3,N,N,N,N,N,N,N,N,N,N,N,N
22,005,221///,G,140,G,2989,G,12202,9,3,N,N,N,N,N,N,N,N,N,N,N,N
22,005,2211//,J,55,J,1487,J,5697,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,22112/,J,55,J,1487,J,5697,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,221122,J,55,J,1487,J,5697,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,2213//,J,59,J,1116,J,4519,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,23----,G,9636,G,244438,G,901130,290,167,45,25,23,12,13,N,N,N,N,N,N,N
22,005,236///,G,588,G,11055,G,51786,76,58,10,3,N,N,N,N,N,N,N,N,N,N
22,005,2361//,H,197,H,3267,H,14021,52,46,5,N,N,N,N,N,N,N,N,N,N,N
22,005,23611/,H,197,H,3267,H,14021,52,46,5,N,N,N,N,N,N,N,N,N,N,N
22,005,236115,H,39,G,519,G,2365,17,15,N,N,N,N,N,N,N,N,N,N,N,N
22,005,236117,H,31,G,378,G,1466,11,9,N,N,N,N,N,N,N,N,N,N,N,N
22,005,236118,H,38,G,350,G,1395,22,21,N,N,N,N,N,N,N,N,N,N,N,N
22,005,2362//,G,391,G,7788,G,37765,24,12,5,3,N,N,N,N,N,N,N,N,N,N
22,005,23621/,G,268,G,5560,G,25192,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,236210,G,268,G,5560,G,25192,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,23622/,G,123,G,2228,H,12573,20,11,5,3,N,N,N,N,N,N,N,N,N,N
22,005,236220,G,123,G,2228,H,12573,20,11,5,3,N,N,N,N,N,N,N,N,N,N
22,005,237///,G,1705,G,34301,H,173093,39,14,6,4,N,6,6,N,N,N,N,N,N,N
22,005,2371//,H,679,H,14097,H,67045,19,8,3,N,N,3,3,N,N,N,N,N,N,N
22,005,23711/,G,6,H,63,H,331,5,5,N,N,N,N,N,N,N,N,N,N,N,N
22,005,237110,G,6,H,63,H,331,5,5,N,N,N,N,N,N,N,N,N,N,N,N
22,005,23712/,J,531,J,11905,J,51608,7,N,N,N,N,3,N,N,N,N,N,N,N,N
22,005,237120,J,531,J,11905,J,51608,7,N,N,N,N,3,N,N,N,N,N,N,N,N
22,005,23713/,J,142,J,2129,G,15106,7,3,N,N,N,N,N,N,N,N,N,N,N,N
22,005,237130,J,142,J,2129,G,15106,7,3,N,N,N,N,N,N,N,N,N,N,N,N
22,005,2372//,G,4,G,127,G,491,3,3,N,N,N,N,N,N,N,N,N,N,N,N
22,005,23721/,G,4,G,127,G,491,3,3,N,N,N,N,N,N,N,N,N,N,N,N
22,005,237210,G,4,G,127,G,491,3,3,N,N,N,N,N,N,N,N,N,N,N,N
22,005,2373//,G,249,G,4854,G,19790,7,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,23731/,G,249,G,4854,G,19790,7,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,237310,G,249,G,4854,G,19790,7,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,2379//,G,773,G,15223,H,85767,10,N,N,N,N,N,N,N,N,N,N,N,N,N
22,005,23799/,G,773,G,15223,H,85767,10,N,N,N,N,N,N,N,N,N,N,N,N,N
