fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
22,001,------,G,12018,G,117800,G,486884,1150,641,222,151,87,30,18,N,N,N,N,N,N,N
22,001,11----,J,26,G,215,G,1137,6,3,3,N,N,N,N,N,N,N,N,N,N,N
22,001,115///,J,25,G,203,G,1090,5,N,3,N,N,N,N,N,N,N,N,N,N,N
22,001,1151//,J,25,G,203,G,1090,5,N,3,N,N,N,N,N,N,N,N,N,N,N
22,001,11511/,J,25,G,203,G,1090,5,N,3,N,N,N,N,N,N,N,N,N,N,N
22,001,115112,J,17,H,139,G,808,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,001,21----,H,400,H,6083,H,24243,26,17,N,4,N,N,N,N,N,N,N,N,N,N
22,001,211///,J,10,G,86,H,341,4,3,N,N,N,N,N,N,N,N,N,N,N,N
22,001,2111//,J,10,G,86,H,341,4,3,N,N,N,N,N,N,N,N,N,N,N,N
22,001,21112/,J,10,G,86,H,341,4,3,N,N,N,N,N,N,N,N,N,N,N,N
22,001,211120,J,10,G,86,H,341,4,3,N,N,N,N,N,N,N,N,N,N,N,N
22,001,213///,H,390,H,5997,H,23902,22,14,N,4,N,N,N,N,N,N,N,N,N,N
22,001,2131//,H,390,H,5997,H,23902,22,14,N,4,N,N,N,N,N,N,N,N,N,N
22,001,21311/,H,390,H,5997,H,23902,22,14,N,4,N,N,N,N,N,N,N,N,N,N
22,001,213112,H,348,H,5393,H,21379,20,13,N,4,N,N,N,N,N,N,N,N,N,N
22,001,22----,J,89,H,1185,H,5059,10,5,N,4,N,N,N,N,N,N,N,N,N,N
22,001,221///,J,89,H,1185,H,5059,10,5,N,4,N,N,N,N,N,N,N,N,N,N
22,001,2211//,J,33,J,615,J,2876,4,3,N,N,N,N,N,N,N,N,N,N,N,N
22,001,22111/,G,7,J,183,J,778,3,3,N,N,N,N,N,N,N,N,N,N,N,N
22,001,221112,G,7,J,183,J,778,3,3,N,N,N,N,N,N,N,N,N,N,N,N
22,001,2213//,J,44,G,331,G,1376,5,N,N,3,N,N,N,N,N,N,N,N,N,N
22,001,22131/,J,40,G,311,G,1289,4,N,N,3,N,N,N,N,N,N,N,N,N,N
22,001,221310,J,40,G,311,G,1289,4,N,N,3,N,N,N,N,N,N,N,N,N,N
22,001,23----,G,989,G,11734,H,55718,133,88,25,12,5,N,N,N,N,N,N,N,N,N
22,001,236///,G,106,G,834,H,3542,32,26,4,N,N,N,N,N,N,N,N,N,N,N
22,001,2361//,H,67,G,498,G,2062,25,21,4,N,N,N,N,N,N,N,N,N,N,N
22,001,23611/,H,67,G,498,G,2062,25,21,4,N,N,N,N,N,N,N,N,N,N,N
22,001,236115,J,35,G,267,G,1104,9,6,3,N,N,N,N,N,N,N,N,N,N,N
22,001,236118,H,29,H,196,H,820,14,13,N,N,N,N,N,N,N,N,N,N,N,N
22,001,2362//,J,39,H,336,H,1480,7,5,N,N,N,N,N,N,N,N,N,N,N,N
22,001,23622/,J,39,H,336,H,1480,7,5,N,N,N,N,N,N,N,N,N,N,N,N
22,001,236220,J,39,H,336,H,1480,7,5,N,N,N,N,N,N,N,N,N,N,N,N
22,001,237///,H,132,H,1611,H,7025,12,5,3,N,N,N,N,N,N,N,N,N,N,N
22,001,2371//,J,73,H,1134,J,5011,7,3,N,N,N,N,N,N,N,N,N,N,N,N
22,001,23711/,H,26,H,315,H,1693,5,3,N,N,N,N,N,N,N,N,N,N,N,N
22,001,237110,H,26,H,315,H,1693,5,3,N,N,N,N,N,N,N,N,N,N,N,N
22,001,2373//,J,52,H,379,H,1630,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,001,23731/,J,52,H,379,H,1630,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,001,237310,J,52,H,379,H,1630,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,001,238///,G,751,G,9289,G,45151,89,57,18,8,3,N,N,N,N,N,N,N,N,N
22,001,2381//,J,37,H,287,H,1157,11,10,N,N,N,N,N,N,N,N,N,N,N,N
22,001,23811/,J,13,H,122,H,427,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,001,238110,J,13,H,122,H,427,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,001,23817/,G,8,H,23,G,121,3,3,N,N,N,N,N,N,N,N,N,N,N,N
22,001,238170,G,8,H,23,G,121,3,3,N,N,N,N,N,N,N,N,N,N,N,N
22,001,2382//,H,217,G,2446,G,10329,40,23,13,N,N,N,N,N,N,N,N,N,N,N
22,001,23821/,J,76,H,691,H,3072,17,9,7,N,N,N,N,N,N,N,N,N,N,N
22,001,238210,J,76,H,691,H,3072,17,9,7,N,N,N,N,N,N,N,N,N,N,N
22,001,23822/,G,141,G,1755,G,7257,23,14,6,N,N,N,N,N,N,N,N,N,N,N
22,001,238220,G,141,G,1755,G,7257,23,14,6,N,N,N,N,N,N,N,N,N,N,N
22,001,2383//,J,51,J,628,H,3132,10,7,N,N,N,N,N,N,N,N,N,N,N,N
22,001,23832/,J,9,G,112,G,385,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,001,238320,J,9,G,112,G,385,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,001,23835/,G,9,H,60,H,254,3,N,N,N,N,N,N,N,N,N,N,N,N,N
