Geography,2024 Unemployment Rate (5-Year ACS),Threshold Calculation,2024 Per Capita Money Income (5-Year ACS),Threshold Calculation2
Region,4.4,-0.8,"$42,258 ",94.6
U.S.,5.2,0,"$44,673 ",100
Ascension LA Tract 0301.02,3.2,-2,"$41,925 ",93.8
Ascension LA Tract 0301.04,2.6,-2.6,"$36,004 ",80.6
Ascension LA Tract 0301.05,2.4,-2.8,"$33,870 ",75.8
Ascension LA Tract 0301.06,3.9,-1.3,"$40,812 ",91.4
Ascension LA Tract 0301.07,4.8,-0.4,"$41,524 ",93
Ascension LA Tract 0302.07,3.7,-1.5,"$57,072 ",127.8
Ascension LA Tract 0302.08,0.9,-4.3,"$51,332 ",114.9
Ascension LA Tract 0302.09,5.6,0.4,"$36,965 ",82.8
Ascension LA Tract 0302.10,0.8,-4.4,"$48,149 ",107.8
Ascension LA Tract 0302.11,5.2,0,"$42,091 ",94.2
Ascension LA Tract 0302.12,1.5,-3.7,"$46,823 ",104.8
Ascension LA Tract 0302.13,5.2,0,"$40,078 ",89.7
Ascension LA Tract 0302.14,3.8,-1.4,"$42,487 ",95.1
Ascension LA Tract 0302.15,7.4,2.2,"$32,034 ",71.7
Ascension LA Tract 0303.01,1.5,-3.7,"$61,280 ",137.2
Ascension LA Tract 0303.02,6.5,1.3,"$59,612 ",133.4
Ascension LA Tract 0303.03,3.6,-1.6,"$41,286 ",92.4
Ascension LA Tract 0303.04,1.1,-4.1,"$57,288 ",128.2
Ascension LA Tract 0304.03,13,7.8,"$33,212 ",74.3
Ascension LA Tract 0304.04,0.3,-4.9,"$30,302 ",67.8
Ascension LA Tract 0304.05,11.6,6.4,"$32,268 ",72.2
Ascension LA Tract 0304.06,3.2,-2,"$41,324 ",92.5
Ascension LA Tract 0305.01,0.6,-4.6,"$46,096 ",103.2
Ascension LA Tract 0305.02,1.1,-4.1,"$40,052 ",89.7
Ascension LA Tract 0305.03,4.3,-0.9,"$48,438 ",108.4
Ascension LA Tract 0306.00,6.8,1.6,"$41,792 ",93.6
Ascension LA Tract 0309.00,16.1,10.9,"$19,040 ",42.6
Ascension LA Tract 0310.01,0,-5.2,"$25,250 ",56.5
Ascension LA Tract 0310.02,10.8,5.6,"$23,943 ",53.6
