Geography,2024 Unemployment Rate (5-Year ACS),Threshold Calculation,2024 Per Capita Money Income (5-Year ACS),Threshold Calculation2
Region,7.7,2.5,"$38,736 ",86.7
U.S.,5.2,0,"$44,673 ",100
East Baton Rouge LA Tract 0001.00,17.3,12.1,"$18,099 ",40.5
East Baton Rouge LA Tract 0002.00,6.1,0.9,"$11,879 ",26.6
East Baton Rouge LA Tract 0003.00,10.1,4.9,"$21,371 ",47.8
East Baton Rouge LA Tract 0004.00,13.6,8.4,"$22,945 ",51.4
East Baton Rouge LA Tract 0005.00,31.7,26.5,"$12,937 ",29
East Baton Rouge LA Tract 0006.01,11.8,6.6,"$25,852 ",57.9
East Baton Rouge LA Tract 0006.02,12.2,7,"$22,207 ",49.7
East Baton Rouge LA Tract 0007.01,6.4,1.2,"$15,729 ",35.2
East Baton Rouge LA Tract 0007.02,17.9,12.7,"$16,890 ",37.8
East Baton Rouge LA Tract 0009.00,13.8,8.6,"$24,410 ",54.6
East Baton Rouge LA Tract 0010.00,5.4,0.2,"$18,408 ",41.2
East Baton Rouge LA Tract 0011.02,4.5,-0.7,"$20,080 ",45
East Baton Rouge LA Tract 0011.03,45,39.8,"$14,048 ",31.4
East Baton Rouge LA Tract 0011.04,10.4,5.2,"$15,413 ",34.5
East Baton Rouge LA Tract 0016.00,9.4,4.2,"$36,807 ",82.4
East Baton Rouge LA Tract 0017.00,3.2,-2,"$62,617 ",140.2
East Baton Rouge LA Tract 0018.00,17,11.8,"$43,581 ",97.6
East Baton Rouge LA Tract 0019.00,2.4,-2.8,"$61,773 ",138.3
East Baton Rouge LA Tract 0020.00,3.8,-1.4,"$61,373 ",137.4
East Baton Rouge LA Tract 0022.00,15.2,10,"$26,998 ",60.4
East Baton Rouge LA Tract 0023.00,2.6,-2.6,"$73,395 ",164.3
East Baton Rouge LA Tract 0024.00,5.5,0.3,"$27,993 ",62.7
East Baton Rouge LA Tract 0025.00,8,2.8,"$27,458 ",61.5
East Baton Rouge LA Tract 0026.01,4,-1.2,"$69,758 ",156.2
East Baton Rouge LA Tract 0026.02,0,-5.2,"$64,205 ",143.7
East Baton Rouge LA Tract 0027.00,5.6,0.4,"$58,264 ",130.4
East Baton Rouge LA Tract 0028.01,12.6,7.4,"$7,135 ",16
East Baton Rouge LA Tract 0028.02,3.1,-2.1,"$8,489 ",19
East Baton Rouge LA Tract 0030.00,13,7.8,"$11,247 ",25.2
East Baton Rouge LA Tract 0031.04,12.9,7.7,"$14,540 ",32.6
East Baton Rouge LA Tract 0032.01,15.3,10.1,"$20,950 ",46.9
East Baton Rouge LA Tract 0032.02,19.3,14.1,"$27,068 ",60.6
East Baton Rouge LA Tract 0033.00,9.6,4.4,"$32,626 ",73
East Baton Rouge LA Tract 0034.00,16.4,11.2,"$17,001 ",38.1
East Baton Rouge LA Tract 0035.01,5.4,0.2,"$28,482 ",63.8
East Baton Rouge LA Tract 0035.04,18.7,13.5,"$19,690 ",44.1
East Baton Rouge LA Tract 0035.05,19.7,14.5,"$23,860 ",53.4
East Baton Rouge LA Tract 0035.06,22.3,17.1,"$19,366 ",43.4
East Baton Rouge LA Tract 0035.07,4.3,-0.9,"$35,507 ",79.5
East Baton Rouge LA Tract 0036.01,9.4,4.2,"$25,376 ",56.8
East Baton Rouge LA Tract 0036.03,11.8,6.6,"$23,794 ",53.3
East Baton Rouge LA Tract 0036.04,7.4,2.2,"$14,219 ",31.8
East Baton Rouge LA Tract 0037.01,7.5,2.3,"$39,260 ",87.9
East Baton Rouge LA Tract 0037.02,5.3,0.1,"$29,009 ",64.9
East Baton Rouge LA Tract 0037.03,9.5,4.3,"$38,347 ",85.8
East Baton Rouge LA Tract 0038.04,3.5,-1.7,"$42,410 ",94.9
East Baton Rouge LA Tract 0038.06,2.7,-2.5,"$38,849 ",87
East Baton Rouge LA Tract 0038.07,0.4,-4.8,"$71,750 ",160.6
East Baton Rouge LA Tract 0038.08,0,-5.2,"$53,868 ",120.6
East Baton Rouge LA Tract 0038.09,2.3,-2.9,"$74,254 ",166.2
