Geography,2024 Unemployment Rate (5-Year ACS),Threshold Calculation,2024 Per Capita Money Income (5-Year ACS),Threshold Calculation2
Region,6.1,0.9,"$29,389 ",65.8
U.S.,5.2,0,"$44,673 ",100
Iberville LA Tract 9526.00,6.5,1.3,"$30,512 ",68.3
Iberville LA Tract 9527.01,5.1,-0.1,"$41,342 ",92.5
Iberville LA Tract 9527.02,3.6,-1.6,"$40,265 ",90.1
Iberville LA Tract 9529.01,3.3,-1.9,"$30,423 ",68.1
Iberville LA Tract 9529.02,0,-5.2,"$22,361 ",50
Iberville LA Tract 9530.00,19.5,14.3,"$21,096 ",47.2
Iberville LA Tract 9531.01,7.7,2.5,"$25,743 ",57.6
Iberville LA Tract 9531.02,3.7,-1.5,"$25,138 ",56.3
Iberville LA Tract 9532.00,6,0.8,"$28,472 ",63.7
