Geography,2024 Unemployment Rate (5-Year ACS),Threshold Calculation,2024 Per Capita Money Income (5-Year ACS),Threshold Calculation2
Region,4.2,-1,"$35,135 ",78.6
U.S.,5.2,0,"$44,673 ",100
Livingston LA Tract 0401.01,6.7,1.5,"$28,949 ",64.8
Livingston LA Tract 0401.02,0.1,-5.1,"$33,836 ",75.7
Livingston LA Tract 0401.03,10.9,5.7,"$27,602 ",61.8
Livingston LA Tract 0402.02,4.4,-0.8,"$28,807 ",64.5
Livingston LA Tract 0402.03,0,-5.2,"$39,554 ",88.5
Livingston LA Tract 0402.04,4.7,-0.5,"$28,772 ",64.4
Livingston LA Tract 0403.04,7,1.8,"$38,483 ",86.1
Livingston LA Tract 0403.05,0,-5.2,"$38,308 ",85.8
Livingston LA Tract 0403.06,1.4,-3.8,"$33,304 ",74.6
Livingston LA Tract 0403.07,1.9,-3.3,"$37,197 ",83.3
Livingston LA Tract 0403.08,2.3,-2.9,"$34,895 ",78.1
Livingston LA Tract 0404.03,0,-5.2,"$30,037 ",67.2
Livingston LA Tract 0404.04,5.8,0.6,"$35,015 ",78.4
Livingston LA Tract 0404.05,6.7,1.5,"$28,578 ",64
Livingston LA Tract 0404.06,4.9,-0.3,"$34,822 ",78
Livingston LA Tract 0405.01,0,-5.2,"$27,531 ",61.6
Livingston LA Tract 0405.02,4.3,-0.9,"$36,360 ",81.4
Livingston LA Tract 0405.03,8.4,3.2,"$34,723 ",77.7
Livingston LA Tract 0406.01,10.3,5.1,"$40,521 ",90.7
Livingston LA Tract 0406.02,5.3,0.1,"$50,352 ",112.7
Livingston LA Tract 0407.00,6.4,1.2,"$30,814 ",69
Livingston LA Tract 0408.05,11.8,6.6,"$35,695 ",79.9
Livingston LA Tract 0408.07,2.2,-3,"$27,472 ",61.5
Livingston LA Tract 0408.08,3.8,-1.4,"$42,697 ",95.6
Livingston LA Tract 0408.09,2.5,-2.7,"$34,143 ",76.4
Livingston LA Tract 0408.10,3.1,-2.1,"$41,176 ",92.2
Livingston LA Tract 0408.11,6.4,1.2,"$46,802 ",104.8
Livingston LA Tract 0408.12,4.5,-0.7,"$39,148 ",87.6
Livingston LA Tract 0408.13,0.8,-4.4,"$27,337 ",61.2
Livingston LA Tract 0408.14,1.1,-4.1,"$33,777 ",75.6
Livingston LA Tract 0409.03,1,-4.2,"$27,175 ",60.8
Livingston LA Tract 0409.04,4.2,-1,"$29,248 ",65.5
Livingston LA Tract 0409.05,3,-2.2,"$45,067 ",100.9
Livingston LA Tract 0409.06,2.4,-2.8,"$50,473 ",113
