Geography,2024 Unemployment Rate (5-Year ACS),Threshold Calculation,2024 Per Capita Money Income (5-Year ACS),Threshold Calculation2
Region,6,0.8,"$31,792 ",71.2
U.S.,5.2,0,"$44,673 ",100
Tangipahoa LA Tract 9532.00,1.8,-3.4,"$38,954 ",87.2
Tangipahoa LA Tract 9533.00,8.9,3.7,"$20,046 ",44.9
Tangipahoa LA Tract 9534.01,3.6,-1.6,"$20,164 ",45.1
Tangipahoa LA Tract 9534.02,3.6,-1.6,"$27,651 ",61.9
Tangipahoa LA Tract 9535.01,11.6,6.4,"$32,835 ",73.5
Tangipahoa LA Tract 9535.02,1.1,-4.1,"$30,260 ",67.7
Tangipahoa LA Tract 9536.01,3.3,-1.9,"$18,053 ",40.4
Tangipahoa LA Tract 9536.02,9.1,3.9,"$18,924 ",42.4
Tangipahoa LA Tract 9537.01,8.6,3.4,"$38,445 ",86.1
Tangipahoa LA Tract 9537.02,8,2.8,"$57,151 ",127.9
Tangipahoa LA Tract 9538.00,7.9,2.7,"$27,757 ",62.1
Tangipahoa LA Tract 9539.01,16.4,11.2,"$31,443 ",70.4
Tangipahoa LA Tract 9539.02,11.4,6.2,"$27,833 ",62.3
Tangipahoa LA Tract 9540.01,4.4,-0.8,"$23,664 ",53
Tangipahoa LA Tract 9540.03,1.9,-3.3,"$43,654 ",97.7
Tangipahoa LA Tract 9540.04,0,-5.2,"$22,722 ",50.9
Tangipahoa LA Tract 9541.03,2.5,-2.7,"$27,422 ",61.4
Tangipahoa LA Tract 9541.04,3.9,-1.3,"$23,704 ",53.1
Tangipahoa LA Tract 9541.05,1.3,-3.9,"$26,484 ",59.3
Tangipahoa LA Tract 9541.06,5.3,0.1,"$41,228 ",92.3
Tangipahoa LA Tract 9542.00,8,2.8,"$22,716 ",50.8
Tangipahoa LA Tract 9543.00,7.7,2.5,"$24,214 ",54.2
Tangipahoa LA Tract 9544.00,5.7,0.5,"$26,660 ",59.7
Tangipahoa LA Tract 9545.03,9.5,4.3,"$23,105 ",51.7
Tangipahoa LA Tract 9545.04,3.4,-1.8,"$35,977 ",80.5
Tangipahoa LA Tract 9545.05,4.6,-0.6,"$31,427 ",70.4
Tangipahoa LA Tract 9545.06,14,8.8,"$24,477 ",54.8
Tangipahoa LA Tract 9546.01,5.2,0,"$41,570 ",93
Tangipahoa LA Tract 9546.02,3.2,-2,"$44,823 ",100.3
Tangipahoa LA Tract 9547.00,4.5,-0.7,"$30,499 ",68.3
Tangipahoa LA Tract 9548.00,4.2,-1,"$31,565 ",70.7
