Geography,2024 Unemployment Rate (5-Year ACS),Threshold Calculation,2024 Per Capita Money Income (5-Year ACS),Threshold Calculation2
Region,9.9,4.7,"$25,927 ",58
U.S.,5.2,0,"$44,673 ",100
Washington LA Tract 9501.01,9.6,4.4,"$13,857 ",31
Washington LA Tract 9501.02,11.4,6.2,"$25,256 ",56.5
Washington LA Tract 9502.01,10.7,5.5,"$26,803 ",60
Washington LA Tract 9502.02,6.1,0.9,"$30,023 ",67.2
Washington LA Tract 9503.00,9.7,4.5,"$31,494 ",70.5
Washington LA Tract 9504.00,2.3,-2.9,"$32,928 ",73.7
Washington LA Tract 9505.01,5,-0.2,"$38,704 ",86.6
Washington LA Tract 9505.02,9.9,4.7,"$22,514 ",50.4
Washington LA Tract 9506.00,9.3,4.1,"$26,583 ",59.5
Washington LA Tract 9507.00,17.8,12.6,"$21,369 ",47.8
Washington LA Tract 9508.00,8.8,3.6,"$24,864 ",55.7
Washington LA Tract 9509.00,8.6,3.4,"$11,921 ",26.7
Washington LA Tract 9510.00,15.4,10.2,"$22,695 ",50.8
